"","sample_id","longitude","latitude","continent","raw_obs_div","rarefied"
"1","FMS00238v3",6.020833,52.04222,"Europe",3,5
"2","FMS00239v3",21.8025,40.99361,"Europe",NA,NA
"3","FMS00240v3",6.020833,52.04222,"Europe",1,1
"4","FMS00241v3",5.976667,52.0175,"Europe",1,1
"5","FMS00242v3",14.974722,46.25306,"Europe",4,6.57100009918213
"6","FMS00243v3",6.020833,52.04222,"Europe",1,1
"7","FMS00244v3",14.055556,45.86333,"Europe",NA,0
"8","FMS00245v3",6.020833,52.04222,"Europe",1,1
"9","FMS00246v3",6.020833,52.04222,"Europe",NA,NA
"10","FMS00247v3",14.974722,46.25306,"Europe",4,8.5
"11","FMS00248v3",14.974722,46.25306,"Europe",3,3.46900010108948
"12","FMS00249v3",6.020833,52.04222,"Europe",NA,0
"13","FMS00250v3",21.298056,40.00722,"Europe",6,16.7140007019043
"14","FMS00251v3",5.976667,52.0175,"Europe",3,3
"15","FMS00252v3",13.9675,45.84556,"Europe",13,21.6900005340576
"16","FMS00253v3",16.616111,46.56028,"Europe",3,3.79999995231628
"17","FMS00254v3",14.648611,46.20278,"Europe",NA,0
"18","FMS00255v3",14.974722,46.25306,"Europe",6,15.9010000228882
"19","FMS00256v3",5.976667,52.0175,"Europe",2,2.5
"20","FMS00257v3",6.020833,52.04222,"Europe",NA,0
"21","FMS00258v3",15.095278,46.18556,"Europe",3,5
"22","FMS00259v3",6.020833,52.04222,"Europe",2,2
"23","FMS00260v3",21.298056,40.00722,"Europe",9,23.9669990539551
"24","FMS00261v3",6.020833,52.04222,"Europe",NA,0
"25","FMS00262v3",6.020833,52.04222,"Europe",NA,NA
"26","FMS00263v3",6.020833,52.04222,"Europe",1,1
"27","FMS00264v3",13.873889,46.14333,"Europe",3,5
"28","FMS00265v3",14.055556,45.86333,"Europe",1,1
"29","FMS00266v3",23.128889,40.65889,"Europe",3,5
"30","FMS00267v3",21.8025,40.99361,"Europe",2,2.5
"31","FMS00268v3",6.020833,52.04222,"Europe",2,2
"32","FMS00269v3",14.974722,46.25306,"Europe",3,3.93300008773804
"33","FMS00270v3",6.020833,52.04222,"Europe",NA,0
"34","FMS00271v3",6.020833,52.04222,"Europe",NA,0
"35","FMS00272v3",14.745833,46.00556,"Europe",NA,0
"36","FMS00273v3",21.8025,40.99361,"Europe",NA,NA
"37","FMS00274v3",14.809167,46.20444,"Europe",6,9.5
"38","FMS00275v3",14.648611,46.20278,"Europe",1,1
"39","FMS00276v3",6.020833,52.04222,"Europe",NA,0
"40","FMS00277v3",14.809167,46.20444,"Europe",NA,0
"41","FMS00278v3",14.745833,46.00556,"Europe",NA,0
"42","FMS00279v3",14.648611,46.20278,"Europe",16,29.0499992370606
"43","FMS00280v3",23.128889,40.65889,"Europe",2,2.5
"44","FMS00281v3",6.020833,52.04222,"Europe",NA,0
"45","FMS00282v3",6.020833,52.04222,"Europe",4,8.5
"46","FMS00283v3",14.974722,46.25306,"Europe",5,5.97100019454956
"47","FMS00284v3",6.020833,52.04222,"Europe",NA,NA
"48","FMS00285v3",14.809167,46.20444,"Europe",NA,0
"49","FMS00286v3",21.298056,40.00722,"Europe",4,8.5
"50","FMS00287v3",6.020833,52.04222,"Europe",4,7.59999990463257
"51","FMS00288v3",21.8025,40.99361,"Europe",1,1
"52","FMS00289v3",6.020833,52.04222,"Europe",1,1
"53","FMS00290v3",13.9675,45.84556,"Europe",4,5.77799987792969
"54","FMS00291v3",14.055556,45.86333,"Europe",NA,0
"55","FMS00292v3",15.095278,46.18556,"Europe",1,1
"56","FMS00293v3",21.298056,40.00722,"Europe",4,8.5
"57","FMS00294v3",21.298056,40.00722,"Europe",NA,0
"58","FMS00295v3",6.020833,52.04222,"Europe",NA,0
"59","FMS00296v3",15.671111,46.15056,"Europe",6,7.95100021362305
"60","FMS00297v3",14.809167,46.20444,"Europe",1,1
"61","FMS00298v3",6.020833,52.04222,"Europe",2,2.5
"62","FMS00299v3",21.8025,40.99361,"Europe",NA,NA
"63","FMS00300v3",6.020833,52.04222,"Europe",1,1
"64","FMS00301v3",5.976667,52.0175,"Europe",NA,0
"65","FMS00302v3",21.8025,40.99361,"Europe",NA,NA
"66","FMS00303v3",14.809167,46.20444,"Europe",5,13
"67","FMS00304v3",23.128889,40.65889,"Europe",1,1
"68","FMS00305v3",6.020833,52.04222,"Europe",1,1
"69","FMS00306v3",13.873889,46.14333,"Europe",NA,0
"70","FMS00307v3",21.298056,40.00722,"Europe",4,6.5
"71","FMS00308v3",14.809167,46.20444,"Europe",3,5
"72","FMS00309v3",19.623333,43.38722,"Europe",2,2.5
"73","FMS00310v3",8.764444,50.28611,"Europe",1,1
"74","FMS00311v3",8.387867,50.06262,"Europe",1,1
"75","FMS00312v3",8.821667,50.15861,"Europe",NA,NA
"76","FMS00313v3",14.565278,48.43722,"Europe",NA,NA
"77","FMS00314v3",13.863611,45.65028,"Europe",5,13
"78","FMS00315v3",19.426944,42.44722,"Europe",1,1
"79","FMS00316v3",13.986667,45.7575,"Europe",2,2
"80","FMS00317v3",14.909722,46.07778,"Europe",NA,0
"81","FMS00318v3",14.909722,46.07778,"Europe",NA,NA
"82","FMS00319v3",13.233889,48.3275,"Europe",NA,0
"83","FMS00320v3",21.956111,40.96333,"Europe",2,2
"84","FMS00321v3",19.5275,42.49778,"Europe",4,8.5
"85","FMS00322v3",19.549444,43.39583,"Europe",1,1
"86","FMS00323v3",14.125278,46.00861,"Europe",5,5
"87","FMS00324v3",5.892222,51.98389,"Europe",1,1
"88","FMS00325v3",19.426944,42.44722,"Europe",1,1
"89","FMS00326v3",8.821667,50.15861,"Europe",1,1
"90","FMS00327v3",14.373611,48.41361,"Europe",4,4
"91","FMS00328v3",23.070278,40.70194,"Europe",NA,0
"92","FMS00329v3",5.808333,52.10833,"Europe",NA,NA
"93","FMS00330v3",14.125278,46.00861,"Europe",NA,NA
"94","FMS00331v3",19.5275,42.49778,"Europe",NA,NA
"95","FMS00332v3",8.062383,50.14187,"Europe",NA,NA
"96","FMS00333v3",14.1025,45.82861,"Europe",5,9.1540002822876
"97","FMS00334v3",5.365936,52.15574,"Europe",6,6.96799993515015
"98","FMS00335v3",21.108611,40.92,"Europe",2,2.5
"99","FMS00336v3",13.447778,48.50944,"Europe",NA,NA
"100","FMS00337v3",13.233889,48.3275,"Europe",6,10.25
"101","FMS00338v3",14.334167,48.45417,"Europe",1,1
"102","FMS00339v3",8.821667,50.15861,"Europe",1,1
"103","FMS00340v3",23.041389,40.88111,"Europe",NA,0
"104","FMS00341v3",14.4225,48.60472,"Europe",NA,NA
"105","FMS00342v3",21.8925,40.91306,"Europe",6,8.8120002746582
"106","FMS00343v3",13.914167,46.48333,"Europe",NA,NA
"107","FMS00344v3",8.671111,50.26639,"Europe",1,1
"108","FMS00345v3",15.641389,46.12083,"Europe",NA,NA
"109","FMS00346v3",13.914167,46.48333,"Europe",1,1
"110","FMS00347v3",14.373611,48.41361,"Europe",1,1
"111","FMS00348v3",21.8925,40.91306,"Europe",1,1
"112","FMS00349v3",13.986667,45.7575,"Europe",1,1
"113","FMS00350v3",5.808333,52.10833,"Europe",3,3.96000003814697
"114","FMS00351v3",13.951111,45.98528,"Europe",1,1
"115","FMS00352v3",8.824167,50.22667,"Europe",NA,NA
"116","FMS00353v3",13.863611,45.65028,"Europe",NA,NA
"117","FMS00354v3",14.773056,46.22806,"Europe",NA,NA
"118","FMS00355v3",14.565278,48.43722,"Europe",5,13
"119","FMS00356v3",5.698611,51.93528,"Europe",4,8.5
"120","FMS00357v3",19.636667,42.43028,"Europe",NA,NA
"121","FMS00358v3",13.983611,45.56861,"Europe",4,7.59999990463257
"122","FMS00359v3",13.447778,48.50944,"Europe",9,20.875
"123","FMS00360v3",5.735833,52.10028,"Europe",NA,NA
"124","FMS00361v3",5.892222,51.98389,"Europe",1,1
"125","FMS00362v3",8.822778,50.15472,"Europe",NA,NA
"126","FMS00363v3",8.824167,50.22667,"Europe",NA,NA
"127","FMS00364v3",19.549444,43.39583,"Europe",2,2
"128","FMS00365v3",19.4775,43.54139,"Europe",NA,NA
"129","FMS00366v3",13.951111,45.98528,"Europe",1,1
"130","FMS00367v3",19.549444,43.39583,"Europe",NA,NA
"131","FMS00368v3",8.756667,50.24417,"Europe",2,2.5
"132","FMS00369v3",14.909722,46.07778,"Europe",1,1
"133","FMS00370v3",23.200556,41.66611,"Europe",5,10.9790000915527
"134","FMS00371v3",15.688889,46.14528,"Europe",1,1
"135","FMS00372v3",5.935278,52.1375,"Europe",NA,NA
"136","FMS00373v3",14.334167,48.45417,"Europe",1,1
"137","FMS00374v3",13.176944,48.28778,"Europe",NA,NA
"138","FMS00375v3",13.773889,46.585,"Europe",6,16.7140007019043
"139","FMS00376v3",21.335278,41.01417,"Europe",4,8.5
"140","FMS00377v3",15.688889,46.14528,"Europe",1,1
"141","FMS00378v3",4.915,51.98,"Europe",NA,NA
"142","FMS00379v3",19.371389,42.565,"Europe",NA,0
"143","FMS00380v3",5.735833,52.10028,"Europe",1,1
"144","FMS00381v3",23.191389,40.70167,"Europe",2,2
"145","FMS00382v3",21.335278,41.01417,"Europe",NA,NA
"146","FMS00383v3",8.822778,50.15472,"Europe",2,2.33299994468689
"147","FMS00384v3",5.881389,51.9125,"Europe",3,5
"148","FMS00385v3",5.9225,52.08611,"Europe",NA,NA
"149","FMS00386v3",8.629167,50.225,"Europe",9,14.5
"150","FMS00387v3",13.914167,46.48333,"Europe",3,3.97099995613098
"151","FMS00388v3",19.5275,42.49778,"Europe",NA,0
"152","FMS00389v3",23.070278,40.70194,"Europe",5,10.8000001907349
"153","FMS00390v3",14.072778,46.01472,"Europe",NA,NA
"154","FMS00391v3",14.1025,45.82861,"Europe",3,3.83299994468689
"155","FMS00392v3",14.125278,46.00861,"Europe",3,3.48000001907349
"156","FMS00393v3",8.698333,50.14194,"Europe",2,2.33299994468689
"157","FMS00394v3",19.558056,42.87694,"Europe",NA,NA
"158","FMS00395v3",13.951111,45.98528,"Europe",NA,NA
"159","FMS00396v3",14.773056,46.22806,"Europe",6,18.5
"160","FMS00397v3",13.773889,46.585,"Europe",5,10.1429996490479
"161","FMS00398v3",14.072778,46.01472,"Europe",8,29.7779998779297
"162","FMS00399v3",14.1025,45.82861,"Europe",2,2.5
"163","FMS00400v3",13.259722,48.40417,"Europe",10,39.867000579834
"164","FMS00401v3",13.176944,48.28778,"Europe",NA,NA
"165","FMS00402v3",6.160278,52.09278,"Europe",NA,NA
"166","FMS00403v3",8.756667,50.24417,"Europe",2,2.33299994468689
"167","FMS00404v3",8.215833,50.02867,"Europe",4,4.47700023651123
"168","FMS00405v3",19.25,42.35194,"Europe",2,2.5
"169","FMS00406v3",13.863611,45.65028,"Europe",NA,NA
"170","FMS00407v3",14.4225,48.60472,"Europe",1,1
"171","FMS00408v3",13.375278,48.43778,"Europe",NA,NA
"172","FMS00409v3",8.698333,50.14194,"Europe",NA,0
"173","FMS00410v3",14.761944,46.17083,"Europe",2,2
"174","FMS00411v3",19.281667,42.57083,"Europe",NA,NA
"175","FMS00412v3",4.915,51.98,"Europe",3,5
"176","FMS00413v3",23.006667,40.75028,"Europe",2,2
"177","FMS00414v3",21.105833,40.93722,"Europe",NA,NA
"178","FMS00415v3",5.808333,52.10833,"Europe",5,9.48700046539307
"179","FMS00416v3",13.986667,45.7575,"Europe",5,5.95499992370606
"180","FMS00417v3",8.767433,50.11222,"Europe",2,2
"181","FMS00418v3",8.629167,50.225,"Europe",1,1
"182","FMS00419v3",14.418889,48.40222,"Europe",1,1
"183","FMS00420v3",8.671111,50.26639,"Europe",2,2.5
"184","FMS00421v3",19.558056,42.87694,"Europe",NA,NA
"185","FMS00422v3",8.767433,50.11222,"Europe",5,5.9980001449585
"186","FMS00423v3",15.641389,46.12083,"Europe",NA,NA
"187","FMS00424v3",5.9225,52.08611,"Europe",3,5
"188","FMS00425v3",19.281667,42.57083,"Europe",1,1
"189","FMS00426v3",21.335278,41.01417,"Europe",NA,0
"190","FMS00427v3",5.74,52.05861,"Europe",NA,NA
"191","FMS00428v3",5.74,52.05861,"Europe",2,2
"192","FMS00429v3",5.935278,52.1375,"Europe",1,1
"193","FMS00430v3",15.641389,46.12083,"Europe",NA,NA
"194","FMS00431v3",23.200556,41.66611,"Europe",3,3
"195","FMS00432v3",5.698611,51.93528,"Europe",3,4.5
"196","FMS00433v3",13.983611,45.56861,"Europe",NA,NA
"197","FMS00434v3",19.371389,42.565,"Europe",1,1
"198","FMS00435v3",8.756667,50.24417,"Europe",6,13.1999998092651
"199","FMS00436v3",13.773889,46.585,"Europe",NA,NA
"200","FMS00437v3",8.764444,50.28611,"Europe",NA,NA
"201","FMS00438v3",8.767433,50.11222,"Europe",3,3.20000004768372
"202","FMS00439v3",6.074444,52.06694,"Europe",3,3.90000009536743
"203","FMS00440v3",8.821667,50.15861,"Europe",5,13
"204","FMS00441v3",8.756667,50.24417,"Europe",3,5
"205","FMS00442v3",15.688889,46.14528,"Europe",1,1
"206","FMS00443v3",19.212222,42.54944,"Europe",1,1
"207","FMS00444v3",6.160278,52.09278,"Europe",NA,NA
"208","FMS00445v3",14.072778,46.01472,"Europe",2,2
"209","FMS00446v3",8.756667,50.24417,"Europe",2,2.5
"210","FMS00447v3",5.808333,52.10833,"Europe",NA,NA
"211","FMS00448v3",5.881389,51.9125,"Europe",2,2.5
"212","FMS00449v3",8.698333,50.14194,"Europe",3,5
"213","FMS00450v3",19.426944,42.44722,"Europe",NA,NA
"214","FMS00451v3",19.25,42.35194,"Europe",NA,NA
"215","FMS00452v3",8.437983,50.00225,"Europe",NA,0
"216","FMS00453v3",14.565278,48.43722,"Europe",NA,NA
"217","FMS00454v3",5.735833,52.10028,"Europe",5,11.6669998168945
"218","FMS00455v3",19.623333,43.38722,"Europe",5,6.92899990081787
"219","FMS00456v3",13.466389,48.57139,"Europe",3,4.5
"220","FMS00457v3",14.565278,48.43722,"Europe",NA,NA
"221","FMS00458v3",8.756667,50.24417,"Europe",1,1
"222","FMS00459v3",14.418889,48.40222,"Europe",NA,NA
"223","FMS00460v3",19.281667,42.57083,"Europe",5,9
"224","FMS00461v3",13.259722,48.40417,"Europe",4,7.59999990463257
"225","FMS00462v3",8.821667,50.15861,"Europe",1,1
"226","FMS00463v3",14.565278,48.43722,"Europe",4,7.59999990463257
"227","FMS00464v3",13.375278,48.43778,"Europe",6,10.2950000762939
"228","FMS00465v3",8.821667,50.15861,"Europe",2,2.5
"229","FMS00466v3",8.387867,50.06262,"Europe",NA,0
"230","FMS00467v3",23.191389,40.70167,"Europe",12,13.9750003814697
"231","FMS00468v3",14.761944,46.17083,"Europe",NA,NA
"232","FMS00469v3",19.4775,43.54139,"Europe",NA,NA
"233","FMS00470v3",13.259722,48.40417,"Europe",1,1
"234","FMS00471v3",8.822778,50.15472,"Europe",1,1
"235","FMS00472v3",5.808333,52.10833,"Europe",NA,NA
"236","FMS00473v3",19.25,42.35194,"Europe",1,1
"237","FMS00474v3",13.375278,48.43778,"Europe",2,2.33299994468689
"238","FMS00475v3",8.437983,50.00225,"Europe",1,1
